true_label,kmeans_cluster,hier_cluster
A,2,2
A,6,2
A,2,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,5,0
A,6,2
A,5,2
A,6,2
A,5,0
A,6,2
A,6,2
A,6,2
A,6,2
A,6,0
A,6,2
A,6,2
A,6,2
A,6,0
A,6,2
A,6,2
A,6,2
A,2,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,0
A,6,2
A,6,2
A,6,2
A,6,0
A,1,6
A,5,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,0
A,6,2
A,6,2
A,1,6
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,5,0
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,0
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,5,2
A,2,2
A,6,2
A,6,2
A,6,2
A,2,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,0
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,5,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,0
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,2,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,2,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,0
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,2,9
A,6,2
A,6,2
A,1,6
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,1,0
A,6,2
A,6,2
A,2,2
A,6,2
A,6,2
A,1,6
A,6,2
A,5,2
A,5,0
A,6,2
A,5,0
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,5,0
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,0
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,1,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,0
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,5,0
A,6,2
A,6,2
A,5,0
A,6,2
A,1,6
A,6,2
A,6,2
A,6,2
A,5,0
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,2,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,0
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,0
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,3,4
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,2,2
A,6,2
A,6,2
A,7,0
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
A,6,2
B,7,0
B,7,0
B,5,0
B,5,0
B,7,0
B,5,0
B,7,0
B,7,0
B,7,0
B,5,0
B,7,0
B,5,0
B,7,0
B,5,0
B,5,0
B,5,0
B,5,0
B,5,0
B,5,0
B,5,0
B,5,0
B,7,0
B,5,0
B,7,0
B,5,0
B,5,0
B,5,0
B,5,0
B,7,0
B,5,0
B,7,0
B,5,0
B,7,0
B,5,0
B,7,0
B,7,0
B,5,0
B,5,0
B,5,0
B,5,0
B,7,0
B,7,0
B,5,0
B,7,0
B,7,0
B,7,0
B,5,0
B,5,0
B,5,0
B,7,0
B,5,0
B,5,0
B,7,0
B,7,0
B,7,0
B,7,0
B,5,0
B,7,0
B,5,0
B,5,0
B,5,0
B,5,0
B,7,0
B,2,0
B,7,0
B,5,0
B,5,0
B,5,0
B,7,0
B,5,0
B,2,9
B,5,0
B,7,0
B,5,0
B,5,0
B,5,0
B,5,0
B,7,0
B,5,0
B,7,0
B,5,0
B,7,0
B,5,0
B,7,0
B,5,0
B,5,0
B,5,0
B,5,0
B,7,2
B,5,0
B,5,0
B,7,0
B,5,0
B,5,0
B,7,0
B,7,0
B,5,0
B,7,0
B,2,0
B,7,0
B,5,0
B,7,0
B,7,0
B,1,6
B,5,0
B,7,0
B,5,0
B,5,0
B,7,0
B,7,0
B,7,0
B,2,9
B,5,0
B,5,0
B,7,0
B,7,0
B,7,0
B,7,0
B,5,0
B,5,0
B,5,0
B,7,0
B,7,0
B,5,0
B,5,0
B,5,0
B,5,0
B,7,0
B,2,0
B,7,0
B,5,0
B,5,0
B,5,0
B,7,7
B,5,0
B,7,0
B,5,0
B,7,0
B,1,6
B,5,0
B,7,0
B,5,0
B,5,0
B,5,0
B,7,0
B,5,0
B,7,0
B,5,0
B,5,0
B,7,0
B,5,0
B,5,0
B,7,0
B,2,0
B,5,0
B,5,0
B,5,0
B,7,0
B,5,0
B,7,0
B,7,0
B,2,0
B,7,0
B,5,0
B,5,0
B,5,0
B,4,8
B,5,0
B,7,0
B,7,0
B,2,0
B,7,0
B,7,0
B,7,0
B,5,0
B,7,0
B,2,0
B,5,0
B,7,0
B,7,0
B,5,0
B,7,0
B,5,0
B,5,0
B,7,0
B,7,2
B,7,0
B,7,0
B,5,0
B,5,0
B,7,0
B,7,0
B,7,0
B,5,0
B,7,0
B,5,0
B,7,0
B,7,0
B,7,0
B,5,0
B,5,0
B,7,0
B,7,0
B,5,0
B,7,0
B,5,0
B,7,0
B,5,0
B,7,0
B,5,0
B,5,0
B,5,0
B,7,0
B,5,0
B,7,0
B,7,0
B,5,0
B,5,0
B,7,0
B,7,0
B,2,0
B,7,0
B,7,0
B,2,0
B,7,0
B,0,4
B,5,0
B,7,0
B,5,0
B,5,0
B,5,0
B,5,0
B,7,0
B,5,0
B,5,0
B,7,0
B,7,0
B,5,0
B,5,0
B,5,0
B,5,0
B,7,0
B,7,0
B,5,0
B,5,0
B,7,0
B,7,0
B,7,0
B,7,0
B,5,6
B,7,0
B,7,0
B,7,0
B,5,0
B,5,0
B,5,0
B,7,0
B,7,0
B,7,0
B,5,0
B,7,0
B,5,0
B,5,0
B,5,0
B,5,0
B,7,0
B,5,0
B,7,0
B,5,0
B,5,0
B,7,0
B,5,0
B,7,0
B,5,0
B,7,0
B,5,0
B,5,0
B,7,0
B,7,0
B,5,0
B,7,0
B,7,0
B,5,0
B,7,0
B,7,0
B,7,0
B,5,0
